ticker,company name,sector,sub-industry,date first added,newsDateLength
LNC,Lincoln National,Financials,Multi-line Insurance,1976-06-30,246
LIN,Linde plc,Materials,Industrial Gases,1992-07-01,319
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23,238
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23,391
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,1984-07-31,50
L,Loews Corp.,Financials,Multi-line Insurance,,503
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,1984-02-29,66
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,1999-03-25,99
LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05,250
MTB,M&T Bank Corp.,Financials,Regional Banks,2004-02-23,335
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,1991-05-01,216
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01,156
MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01,167
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,118
MMC,Marsh & McLennan,Financials,Insurance Brokers,1987-08-31,249
MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02,353
MAS,Masco Corp.,Industrials,Building Products,1981-06-30,253
MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,2008-07-18,40
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,,186
MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,2018-12-03,154
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,1970-06-30,41
MCK,McKesson Corp.,Health Care,Health Care Distributors,,153
MDT,Medtronic plc,Health Care,Health Care Equipment,1986-10-31,97
MRK,Merck & Co.,Health Care,Pharmaceuticals,1957-03-04,52
MET,MetLife Inc.,Financials,Life & Health Insurance,,152
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06,372
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,2017-07-26,69
MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07,163
MU,Micron Technology,Information Technology,Semiconductors,1994-09-27,36
MSFT,Microsoft Corp.,Information Technology,Systems Software,1994-06-01,10
MAA,Mid-America Apartments,Real Estate,Residential REITs,2016-12-02,457
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23,189
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976-06-30,159
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02,161
MNST,Monster Beverage,Consumer Staples,Soft Drinks,2012-06-28,218
MCO,Moody's Corp,Financials,Financial Exchanges & Data,,127
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,,52
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2011-09-26,241
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,,202
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,2018-04-04,197
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2008-10-22,92
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,2005-03-14,318
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",1999-06-25,224
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,2010-12-20,18
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1989-04-30,198
NEM,Newmont Corporation,Materials,Gold,1969-06-30,106
NWSA,News Corp. Class A,Communication Services,Publishing,2013-08-01,160
NWS,News Corp. Class B,Communication Services,Publishing,2015-09-18,160
NEE,NextEra Energy,Utilities,Multi-Utilities,1976-06-30,65
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,2013-07-09,203
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1988-11-30,20
NI,NiSource Inc.,Utilities,Multi-Utilities,,378
NSC,Norfolk Southern Corp.,Industrials,Railroads,1957-03-04,258
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,,207
NOC,Northrop Grumman,Industrials,Aerospace & Defense,1985-06-30,125
NLOK,NortonLifeLock,Information Technology,Application Software,2003-03-25,301
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-10-13,62
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,2010-01-29,274
NUE,Nucor Corp.,Materials,Steel,1985-04-30,212
NVDA,Nvidia Corporation,Information Technology,Semiconductors,2001-11-30,17
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,2019-09-26,391
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,2009-03-27,328
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1982-12-31,93
ODFL,Old Dominion Freight Line,Industrials,Trucking,2019-12-09,258
OMC,Omnicom Group,Communication Services,Advertising,,199
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,2010-03-15,213
ORCL,Oracle Corp.,Information Technology,Application Software,1989-08-31,43
OTIS,Otis Worldwide,Industrials,Industrial Machinery,2020-04-03,244
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,1980-12-31,289
PKG,Packaging Corporation of America,Materials,Paper Packaging,2017-07-26,437
PH,Parker-Hannifin,Industrials,Industrial Machinery,1985-11-30,331
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,,183
PAYC,Paycom,Information Technology,Application Software,2020-01-28,329
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,2015-07-20,21
PNR,Pentair plc,Industrials,Industrial Machinery,2012-10-01,390
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,2008-11-13,434
